Site_YR,hostcode,site,state,species,sex,svl,stage,P-ACSP,P-CLSP,P-MEMO,P-NEMA,P-COVA,P-RHAB,P-RION,P-BASP,P-TIAU,P-EITA,P-NYCO,P-OPRA,BD_POZ,RV_POZ,ttx_cm2
5CN1_2015,5CN1_20150527_TAGR_002,5CN1,CA,TAGR,Male,75.07,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11156.0451
5CN1_2015,5CN1_20150527_TATO_001,5CN1,CA,TATO,Female,69.84,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3894.2145
5CN2_2015,5CN2_20150527_TAGR_001,5CN2,CA,TAGR,Male,78.59,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739.6593
5CN2_2015,5CN2_20150527_TATO_002,5CN2,CA,TATO,Female,69.41,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3985.1907
5CN3_2015,5CN3_20150527_TAGR_006,5CN3,CA,TAGR,Female,75.84,Adult,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10125.8821
5CN3_2015,5CN3_20150527_TAGR_007,5CN3,CA,TAGR,Female,72.33,Adult,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4223.7724
BNPND002_2015,BNPND002_20150526_TAGR_001,BNPND002,CA,TAGR,Male,66.91,Adult,0,0,0,0,1,3,0,0,0,0,0,0,0,0,835.7249
BNPND002_2015,BNPND002_20150526_TAGR_002,BNPND002,CA,TAGR,Male,69.09,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.1887
BNPND002_2015,BNPND002_20150526_TAGR_003,BNPND002,CA,TAGR,Male,68,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17820.194
BNPND002_2015,BNPND002_20150526_TAGR_004,BNPND002,CA,TAGR,Female,62.93,Adult,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3158.1042
BNPND002_2015,BNPND002_20150526_TAGR_005,BNPND002,CA,TAGR,Male,72.36,Adult,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3706.8038
BNPND002_2015,BNPND002_20150526_TAGR_006,BNPND002,CA,TAGR,Male,61.47,Adult,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1996.7762
BNPND002_2015,BNPND002_20150526_TAGR_007,BNPND002,CA,TAGR,Male,72.79,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2635.9422
BNPND002_2015,BNPND002_20150526_TAGR_008,BNPND002,CA,TAGR,Male,71.7,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3889.9313
BNPND002_2015,BNPND002_20150526_TAGR_009,BNPND002,CA,TAGR,Male,74.09,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3785.1657
BNPND002_2015,BNPND002_20150526_TAGR_010,BNPND002,CA,TAGR,Male,57.63,Adult,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3836.6229
BNPND002_2015,BNPND002_20150526_TATO_001,BNPND002,CA,TATO,Female,65.23,Adult,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2741.7468
BNPND002_2015,BNPND002_20150526_TATO_002,BNPND002,CA,TATO,Female,70.64,Adult,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2790.1727
BNPND002_2015,BNPND002_20150526_TATO_003,BNPND002,CA,TATO,Female,61.04,Adult,0,0,0,0,89,4,0,0,0,1,0,0,1,0,4264.044
BNPND002_2015,BNPND002_20150526_TATO_004,BNPND002,CA,TATO,Female,58.9,Adult,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10907.2616
BNPND002_2015,BNPND002_20150526_TATO_005,BNPND002,CA,TATO,Female,63.9,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4135.2249
BNPND002_2015,BNPND002_20150526_TATO_006,BNPND002,CA,TATO,Female,61.64,Adult,0,1,2,0,0,0,0,0,0,0,0,0,0,0,10802.4398
BNPND002_2015,BNPND002_20150526_TATO_007,BNPND002,CA,TATO,Female,67.78,Adult,0,0,0,0,1,6,0,0,0,0,0,0,1,0,2627.0314
BNPND002_2015,BNPND002_20150526_TATO_008,BNPND002,CA,TATO,Female,58.36,Adult,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4355.1913
BNPND002_2015,BNPND002_20150526_TATO_009,BNPND002,CA,TATO,Female,66.92,Adult,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2575.5538
BNPND002_2015,BNPND002_20150526_TATO_010,BNPND002,CA,TATO,Male,72.03,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945.959
BNPND005_2015,BNPND005_20150526_TAGR_002,BNPND005,CA,TAGR,Female,76.21,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314.6695
